"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","270","cy.focused() - get the DOM element that has focus","Misc","2026-09-03","passed","2026-09-03","","","",""
"","1079","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-09-03","passed","2026-09-03","","","",""
"","125","cy.getAllCookies() - get all browser cookies","Cookies","2026-09-03","passed","2026-09-03","","","",""
"","2122","cy.scrollTo() - scroll the window or element to a position","Actions","2026-09-03","passed","2026-09-03","","","",""
"","231","cy.window() - get the global window object","Window","2026-09-03","passed","2026-09-03","","","",""
"","786",".check() - check a checkbox or radio element","Actions","2026-09-03","passed","2026-09-03","","","",""
"","97",".eq() - get a DOM element at a specific index","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","342","cy.fixture() - load a fixture","Files","2026-09-03","passed","2026-09-03","","","",""
"","310","cy.writeFile() - write to a file","Files","2026-09-03","passed","2026-09-03","","","",""
"","204","cy.clearCookie() - clear a browser cookie","Cookies","2026-09-03","passed","2026-09-03","","","",""
"","371",".as() - alias a DOM element for later use","Aliasing","2026-09-03","passed","2026-09-03","","","",""
"","108","cy.wrap() - wrap an object","Misc","2026-09-03","passed","2026-09-03","","","",""
"","93","cy.title() - get the title","Window","2026-09-03","passed","2026-09-03","","","",""
"","116",".and() - chain multiple assertions together","Assertions","2026-09-03","passed","2026-09-03","","Implicit Assertions","",""
"","275","cy.get() - query DOM elements","Querying","2026-09-03","passed","2026-09-03","","","",""
"","100",".siblings() - get all sibling DOM elements","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","109",".within() - query DOM elements within a specific element","Querying","2026-09-03","passed","2026-09-03","","","",""
"","118","cy.fixture() or require - load a fixture","Files","2026-09-03","passed","2026-09-03","","","",""
"","403",".blur() - blur off a DOM element","Actions","2026-09-03","passed","2026-09-03","","","",""
"","203","cy.wait() - wait for a specific route","Waiting","2026-09-03","passed","2026-09-03","","","",""
"","4429","cy.wait() - wait for a specific amount of time","Waiting","2026-09-03","passed","2026-09-03","","","",""
"","236",".add() - create a custom command","Cypress APIs","2026-09-03","passed","2026-09-03","","Cypress.Commands","",""
"","192",".rightclick() - right click on a DOM element","Actions","2026-09-03","passed","2026-09-03","","","",""
"","840",".select() - select an option in a <select> element","Actions","2026-09-03","passed","2026-09-03","","","",""
"","98",".its() - get properties on the current subject","Connectors","2026-09-03","passed","2026-09-03","","","",""
"","487",".clear() - clears an input or textarea element","Actions","2026-09-03","passed","2026-09-03","","","",""
"","172","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-09-03","passed","2026-09-03","","","",""
"","3603",".type() - type into a DOM element","Actions","2026-09-03","passed","2026-09-03","","","",""
"","89","can throw any error","Assertions","2026-09-03","passed","2026-09-03","","Explicit Assertions","",""
"","87",".nextAll() - get all next sibling DOM elements","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","91","Get environment variables","Cypress APIs","2026-09-03","passed","2026-09-03","","Cypress.env()","",""
"","147","cy.readFile() - read file contents","Files","2026-09-03","passed","2026-09-03","","","",""
"","85",".prev() - get previous sibling DOM element","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","209","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-09-03","passed","2026-09-03","","","",""
"","167","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-09-03","passed","2026-09-03","","","",""
"","100",".parents() - get parent DOM elements from DOM elements","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","258","can filter for uncompleted tasks","example to-do app","2026-09-03","passed","2026-09-03","","with a checked task","",""
"","377","cy.request() - pass result to the second request","Network Requests","2026-09-03","passed","2026-09-03","","","",""
"","178","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-09-03","passed","2026-09-03","","","",""
"","117",".closest() - get closest ancestor DOM element","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","132",".trigger() - trigger an event on a DOM element","Actions","2026-09-03","passed","2026-09-03","","","",""
"","87","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-09-03","passed","2026-09-03","","","",""
"","104",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","86",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-09-03","passed","2026-09-03","","Cypress.dom","",""
"","107",".find() - get descendant DOM elements of the selector","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","246","cy.request() - verify response using BDD syntax","Network Requests","2026-09-03","passed","2026-09-03","","","",""
"","294","cy.getCookie() - get a browser cookie","Cookies","2026-09-03","passed","2026-09-03","","","",""
"","200",".dblclick() - double click on a DOM element","Actions","2026-09-03","passed","2026-09-03","","","",""
"","819",".uncheck() - uncheck a checkbox element","Actions","2026-09-03","passed","2026-09-03","","","",""
"","113","Get and set configuration options","Cypress APIs","2026-09-03","passed","2026-09-03","","Cypress.config()","",""
